epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,147.989,1.43753,1.22877,1.22478,0.75179,0.69982,0.73913,0.41579,1.452,1.05984,1.25781,0.000973861,0.000973861,0.000973861
44,151.169,1.50248,1.29162,1.27946,0.77387,0.71913,0.7498,0.41774,1.42799,1.02763,1.2539,0.000957358,0.000957358,0.000957358
45,154.351,1.49035,1.19627,1.20761,0.84532,0.67177,0.75522,0.44231,1.33549,1.07941,1.2199,0.000940855,0.000940855,0.000940855
46,157.389,1.42007,1.20228,1.21034,0.86184,0.64178,0.75323,0.45694,1.34622,1.00333,1.20335,0.000924352,0.000924352,0.000924352
47,160.456,1.43542,1.16507,1.24475,0.75704,0.67037,0.74729,0.4339,1.38421,1.10004,1.25349,0.000907848,0.000907848,0.000907848
48,163.477,1.42971,1.17294,1.22749,0.82338,0.63422,0.74206,0.4612,1.32214,1.00911,1.2328,0.000891345,0.000891345,0.000891345
49,166.546,1.38139,1.14123,1.20524,0.9048,0.59478,0.74214,0.46143,1.27557,0.98192,1.17919,0.000874842,0.000874842,0.000874842
50,169.521,1.35148,1.09885,1.17453,0.81769,0.65078,0.7413,0.46606,1.31815,0.99817,1.18489,0.000858338,0.000858338,0.000858338
51,172.655,1.34202,1.13089,1.20402,0.75257,0.66199,0.7053,0.42671,1.32829,1.16876,1.19034,0.000841835,0.000841835,0.000841835
52,175.745,1.30442,1.065,1.17298,0.85085,0.66066,0.76258,0.46024,1.33454,0.96,1.19119,0.000825332,0.000825332,0.000825332
53,178.827,1.33178,1.03942,1.16682,0.82701,0.6776,0.75211,0.44959,1.34952,0.97438,1.19279,0.000808828,0.000808828,0.000808828
54,181.831,1.32898,1.0297,1.15944,0.85163,0.70801,0.77483,0.46431,1.30416,0.94765,1.18662,0.000792325,0.000792325,0.000792325
55,184.869,1.34527,1.04852,1.15378,0.84586,0.73552,0.77085,0.48251,1.23505,0.92206,1.15526,0.000775822,0.000775822,0.000775822
56,187.876,1.32641,1.046,1.15441,0.82842,0.72777,0.76921,0.45649,1.22742,0.96618,1.13908,0.000759318,0.000759318,0.000759318
57,190.87,1.33314,1.08194,1.16511,0.87144,0.71332,0.78243,0.47799,1.27683,0.89352,1.16395,0.000742815,0.000742815,0.000742815
58,193.88,1.33191,0.98576,1.15659,0.8827,0.72743,0.80304,0.47748,1.32593,0.91526,1.18534,0.000726312,0.000726312,0.000726312
59,196.901,1.25374,0.95243,1.13625,0.88732,0.72969,0.78973,0.50475,1.21355,0.86147,1.13155,0.000709809,0.000709809,0.000709809
60,200.026,1.26074,0.9769,1.12505,0.82781,0.73446,0.76869,0.48254,1.25265,0.91453,1.14694,0.000693305,0.000693305,0.000693305
61,202.964,1.30555,0.99402,1.17944,0.79593,0.73843,0.75693,0.45953,1.25642,0.9536,1.15056,0.000676802,0.000676802,0.000676802
62,206.157,1.27889,0.99397,1.16697,0.86897,0.74742,0.77642,0.49528,1.20969,0.89599,1.12094,0.000660299,0.000660299,0.000660299
63,208.949,1.27505,0.99067,1.12612,0.87037,0.71327,0.78232,0.50457,1.17781,0.89352,1.101,0.000643795,0.000643795,0.000643795
64,212.321,1.24239,0.9586,1.12107,0.81377,0.72988,0.75966,0.48856,1.18751,0.88361,1.12456,0.000627292,0.000627292,0.000627292
65,215.979,1.27343,1.03352,1.15489,0.86474,0.72969,0.78753,0.49735,1.23296,0.85391,1.12078,0.000610789,0.000610789,0.000610789
66,219.336,1.26618,0.95412,1.10513,0.85217,0.74507,0.80005,0.49566,1.24764,0.85901,1.12255,0.000594286,0.000594286,0.000594286
67,222.78,1.23812,0.93895,1.16667,0.85559,0.69146,0.78093,0.49519,1.17153,0.8815,1.09026,0.000577782,0.000577782,0.000577782
68,226.189,1.29907,0.98499,1.1602,0.85588,0.74167,0.80181,0.50935,1.19182,0.86404,1.09248,0.000561279,0.000561279,0.000561279
69,229.509,1.2598,0.9336,1.12716,0.84387,0.72533,0.78895,0.51305,1.16301,0.83745,1.09732,0.000544776,0.000544776,0.000544776
70,232.836,1.2277,0.92918,1.11716,0.83358,0.75483,0.79747,0.50964,1.19998,0.84547,1.10872,0.000528272,0.000528272,0.000528272
71,236.166,1.20443,0.89553,1.12935,0.90554,0.72726,0.7889,0.51729,1.16962,0.84223,1.09833,0.000511769,0.000511769,0.000511769
72,239.505,1.12277,0.84267,1.06124,0.93466,0.72138,0.78861,0.53038,1.14993,0.82703,1.10029,0.000495266,0.000495266,0.000495266
73,242.87,1.17933,0.91476,1.13525,0.86313,0.70962,0.77819,0.50087,1.20265,0.84887,1.08867,0.000478762,0.000478762,0.000478762
74,245.295,1.19964,0.87563,1.10598,0.85733,0.69284,0.7644,0.51508,1.13355,0.85234,1.07632,0.000462259,0.000462259,0.000462259
75,247.75,1.18611,0.88472,1.07581,0.86141,0.71621,0.77769,0.49752,1.16722,0.87415,1.08247,0.000445756,0.000445756,0.000445756
76,250.201,1.168,0.91045,1.07754,0.90925,0.69957,0.78675,0.51904,1.13171,0.8503,1.08636,0.000429253,0.000429253,0.000429253
77,252.637,1.18601,0.86991,1.08918,0.85637,0.73478,0.77803,0.50534,1.15789,0.85101,1.08043,0.000412749,0.000412749,0.000412749
78,255.082,1.20553,0.89587,1.12832,0.87448,0.72869,0.78413,0.5178,1.13527,0.80875,1.08011,0.000396246,0.000396246,0.000396246
79,257.516,1.1779,0.86356,1.09397,0.8804,0.71055,0.76661,0.51286,1.13876,0.83355,1.0648,0.000379743,0.000379743,0.000379743
80,259.945,1.15077,0.86858,1.1082,0.91712,0.72629,0.78507,0.5113,1.14183,0.81423,1.05655,0.000363239,0.000363239,0.000363239
81,262.359,1.17378,0.85539,1.09207,0.89259,0.7182,0.79009,0.53167,1.10862,0.80829,1.05479,0.000346736,0.000346736,0.000346736
82,264.801,1.14204,0.85373,1.08167,0.88142,0.7218,0.79273,0.53381,1.11622,0.77714,1.05828,0.000330233,0.000330233,0.000330233
83,267.25,1.14389,0.86004,1.09394,0.9517,0.69982,0.78973,0.53378,1.10658,0.78456,1.06474,0.000313729,0.000313729,0.000313729
84,269.685,1.18177,0.84454,1.09024,0.91155,0.6969,0.78883,0.54384,1.11859,0.82146,1.05998,0.000297226,0.000297226,0.000297226
85,272.114,1.14385,0.77984,1.0767,0.88589,0.74954,0.78228,0.51675,1.14231,0.81006,1.05189,0.000280723,0.000280723,0.000280723
86,274.533,1.17202,0.85377,1.09461,0.90796,0.72732,0.79765,0.52957,1.09897,0.81954,1.05113,0.00026422,0.00026422,0.00026422
87,276.952,1.12938,0.80099,1.07567,0.89657,0.74741,0.79786,0.53372,1.11661,0.79108,1.04977,0.000247716,0.000247716,0.000247716
88,279.379,1.19028,0.83279,1.08536,0.93416,0.71621,0.79941,0.54552,1.06858,0.77425,1.03712,0.000231213,0.000231213,0.000231213
89,281.83,1.14466,0.80242,1.07329,0.90624,0.72683,0.79663,0.5477,1.10083,0.78012,1.04759,0.00021471,0.00021471,0.00021471
90,284.287,1.15714,0.80869,1.09281,0.92118,0.7326,0.81061,0.55207,1.07566,0.77208,1.04295,0.000198206,0.000198206,0.000198206
91,302.114,1.04918,0.82709,1.06902,0.87651,0.75491,0.80352,0.54025,1.10969,0.80582,1.04511,0.000181703,0.000181703,0.000181703
92,304.569,1.04301,0.78023,1.03022,0.90366,0.72441,0.81145,0.54107,1.10106,0.78647,1.04247,0.0001652,0.0001652,0.0001652
93,306.983,1.03341,0.77758,1.04737,0.85126,0.77122,0.80885,0.54764,1.09412,0.77868,1.03549,0.000148696,0.000148696,0.000148696
94,309.401,1.04768,0.75619,1.06185,0.89065,0.75359,0.79927,0.54983,1.08809,0.75913,1.03431,0.000132193,0.000132193,0.000132193
95,311.805,1.04945,0.76168,1.0595,0.90892,0.73113,0.79793,0.53656,1.09497,0.77186,1.02989,0.00011569,0.00011569,0.00011569
96,314.202,1.03613,0.75764,1.0379,0.89495,0.74372,0.80191,0.54074,1.07837,0.76626,1.02753,9.91865e-05,9.91865e-05,9.91865e-05
97,316.611,1.02795,0.74896,1.06018,0.89599,0.72266,0.79392,0.54686,1.07427,0.77637,1.01964,8.26832e-05,8.26832e-05,8.26832e-05
98,319.031,1.01473,0.73516,1.05242,0.88443,0.72578,0.78578,0.54427,1.06771,0.78872,1.01847,6.61799e-05,6.61799e-05,6.61799e-05
99,321.459,1.01054,0.74264,1.0531,0.89523,0.74372,0.80069,0.55712,1.05275,0.77583,1.01862,4.96766e-05,4.96766e-05,4.96766e-05
100,323.929,1.03906,0.74397,1.06463,0.88705,0.73911,0.79297,0.54952,1.05979,0.76125,1.02195,3.31733e-05,3.31733e-05,3.31733e-05
